TDWG_name,TDWG_code,TDWG_L2,TDWG_continent,Country,Plants,Ants,Amphibians,Reptiles,Fish,Birds,Mammals,Spiders,GeodAREA,mainl,COASTAL,DistMainl,popdens2000,GDPpcRegion,bio_1_MEAN,bio_12_MEAN,LAT,LON,mean_110_plants,completeness_ants,mean_110_amphs,mean_110_mammals,mean_110_birds
Brunei,42_BOR_BR,42,Asia_Trop,Brunei,NA,3,NA,NA,3,3,9,NA,5749.110592,ISL,1,934028.0996,54.35171977,31453,269.1913791,3331.944156,4.521478381,114.7613209,16.17236465,95.7,3.076136869,18.07584062,17.33757962
Kalimantan,42_BOR_KA,42,Asia_Trop,Indonesia,NA,2,NA,NA,NA,3,11,2,537165.1398,ISL,1,201758.3531,21.08141501,3137.4,256.3323987,2930.90986,-0.187363074,113.9941077,2.413418945,95.7,1.703820553,2.182574923,3.831904827
Sabah,42_BOR_SB,42,Asia_Trop,Malaysia,NA,6,NA,NA,NA,9,9,NA,74077.83558,ISL,1,920248.6979,32.21572004,NA,253.2745682,2470.023537,5.348510259,117.1298846,8.267204246,95.7,5.414457668,10.27370841,21.4396673
Sarawak,42_BOR_SR,42,Asia_Trop,Malaysia,NA,8,NA,NA,NA,6,8,NA,123178.4922,ISL,1,586822.6935,16.19967898,NA,253.0643334,3655.797309,2.592968144,113.3037472,4.634274111,95.7,4.478587867,7.009108301,5.073517995
Botswana,27_BOT_OO,27,Africa,Botswana,170,NA,NA,NA,4,3,8,1,578324.768,MAINL,0,NA,3.038004212,6492.9,208.1585675,394.0184957,-22.18204586,23.81507477,16.28116258,68.6,8.273700654,12.35007742,33.1123885
Bouvet_I.,90_BOU_OO,90,Antarctic,Bouvet_I.,NA,NA,0,0,NA,0,0,NA,58.26231413,ISL,1,2515914.543,0,NA,65.53913043,3219.069565,-54.42178759,3.412458431,NA,NA,NA,NA,NA
British_Columbia,71_BRC_OO,71,America_N,Canada,934,3,3,5,5,9,22,17,770857.2486,MAINL,1,NA,3.170484941,35304,5.66060509,707.9317292,55.02287816,-124.4698285,24.53330637,100,43.53874112,31.06837465,65.7679205
Buryatiya,30_BRY_OO,30,Asia_Temp,Russia,41,NA,NA,NA,NA,1,5,NA,352357.042,MAINL,0,NA,3.023160525,8351,-55.57325906,434.2270353,53.55446059,109.5025411,0.384736886,NA,6.937493371,1.608600201,1.879903467
Bulgaria,13_BUL_OO,13,Europe,Bulgaria,610,3,0,1,16,1,9,7,111006.2242,MAINL,1,NA,71.70972748,10588.96,102.1650038,609.425399,42.76135302,25.2313767,9.320317603,100,0.863172907,1.520303398,36.39074906
Burundi,23_BUR_OO,23,Africa,Burundi,187,NA,NA,NA,3,0,6,NA,27181.5728,MAINL,0,NA,241.0124417,219.5,197.3615452,1192.276972,-3.356304234,29.88681075,27.55297817,22.2,29.94683989,9.111435386,18.73426222
